----- Warming up -----
Iteration 1
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant2(pivot: MIDDLE))    -> time =    301.578 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant2(pivot: MIDDLE))  -> time =    268.094 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    271.262 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    284.862 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    269.630 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant2(pivot: MIDDLE))  -> time =    266.501 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    269.183 ms
  QuicksortVariant2(pivot: MIDDLE)                                                   -> time =    315.757 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    304.642 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    268.308 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    264.798 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant2(pivot: MIDDLE))    -> time =    310.510 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant3(pivot: MIDDLE))  -> time =    261.217 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant2(pivot: MEDIAN3)) -> time =    269.056 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    288.817 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant1(pivot: MIDDLE))    -> time =    311.235 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    281.919 ms
Iteration 4
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    274.545 ms
  QuicksortVariant3(pivot: MEDIAN3)                                                  -> time =    328.920 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    264.614 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant1(pivot: MIDDLE))    -> time =    302.373 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    289.161 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant2(pivot: MIDDLE))    -> time =    293.650 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    305.772 ms
