# algorithm	order	size	timeNs
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	262144	1217833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	524288	2980250
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	1048576	6313625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	2097152	12573500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	4194304	28620125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	8388608	61046834
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	16777216	123984292
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	33554432	269262166
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	67108864	535710750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	134217728	1130784875
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	268435456	2445812833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	1024	10375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	2048	13000
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	4096	20750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	8192	33000
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	16384	64833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	32768	150750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	65536	313666
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	131072	610750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	262144	1237791
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	524288	2906209
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	1048576	6498166
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	2097152	12657500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	4194304	29327833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	8388608	60326416
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	16777216	126690167
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	33554432	275730625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	67108864	550119708
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	134217728	1138010792
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	268435456	2527783292
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1024	27125
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2048	54917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4096	114000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8192	240833
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16384	526833
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	32768	1101167
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	65536	2500125
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	131072	5180667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	262144	11371375
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	524288	23558750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1048576	51949708
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2097152	113159250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4194304	213087083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8388608	439138125
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16777216	906828250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	33554432	1884968000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	67108864	3936054333
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	134217728	7936962583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	268435456	16638011208
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	1024	7042
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	2048	10209
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	4096	15750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	8192	29709
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	16384	65917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	32768	130750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	65536	263541
